1,25,45.9549
1,26,91.8489
1,27,183.87
1,28,366.496
1,29,732.795
2,25,23.1977
2,26,46.3925
2,27,92.7821
2,28,185.563
2,29,371.119
2,30,742.23
4,25,11.5991
4,26,23.1966
4,27,46.3918
4,28,92.7822
4,29,185.559
4,30,371.115
8,25,5.7996
8,26,11.5984
8,27,23.1961
8,28,46.3911
8,29,92.7825
8,30,185.562
12,30,123.708
16,25,2.89987
16,26,5.79926
16,27,11.5981
16,28,23.1957
16,29,46.3917
16,30,92.7817
32,25,1.44995
32,26,2.89973
32,27,5.79917
32,28,11.5981
32,29,23.1966
32,30,46.3913
64,25,0.725015
64,26,1.44991
64,27,2.89965
64,28,5.7991
64,29,11.5993
64,30,23.1967
128,25,0.384244
128,26,0.724986
128,27,1.44987
128,28,2.8996
128,29,5.80036
128,30,11.5985
192,25,0.269588
192,26,0.48853
192,27,0.976972
192,28,1.93441
192,29,3.87448
192,30,7.74908
256,25,0.212269
256,26,0.383945
256,27,0.747699
256,30,5.80041
320,25,0.163889
320,26,0.307573
320,27,0.585248
320,28,1.16129
320,29,2.33114
320,30,4.64045
384,25,0.135396
384,26,0.259924
384,27,0.508708
384,28,0.971146
384,29,1.94213
384,30,3.8842
448,25,0.121629
448,26,0.222981
448,27,0.419314
448,28,0.838875
448,29,1.67711
448,30,3.35399
512,25,0.121554
512,26,0.213051
512,27,0.384563
512,28,0.738777
512,29,1.4570
512,30,2.907405