core/thread,pow,runtime(s)
1,512,0.786571
1,1024,6.28483333333
1,1536,20.9710333333
1,2048,49.5746
1,2560,96.8403333333
1,3072,167.296333333
1,3584,264.902333333
2,512,0.400525
2,1024,3.14941
2,1536,10.543
2,2048,25.3189666667
2,2560,49.4412333333
2,3072,84.1598666667
2,3584,133.336666667
4,512,0.231882
4,1024,1.70667
4,1536,5.48754333333
4,2048,12.6199333333
4,2560,24.7202333333
4,3072,42.4521333333
4,3584,67.3325333333
8,512,0.200638333333
8,1024,0.965771333333
8,1536,2.9669
8,2048,6.63949
8,2560,13.038
8,3072,21.6204
8,3584,34.5403666667
12,512,0.170605
12,1024,0.980789666667
12,1536,2.90349333333
12,2048,5.30087333333
12,2560,11.1287866667
12,3072,18.7795333333
12,3584,26.2672333333
16,512,0.144476
16,1024,0.96996
16,1536,2.74841666667
16,2048,5.66495
16,2560,10.3136466667
16,3072,17.347
16,3584,26.6785
32,512,0.109455
32,1024,0.640553333333
32,1536,1.99045666667
32,2048,4.46441333333
32,2560,8.10242
32,3072,13.9953666667
32,3584,21.6467666667
64,512,0.110653566667
64,1024,0.513635666667
64,1536,1.67738666667
64,2048,3.87302
64,2560,7.37371333333
64,3072,11.7362666667
64,3584,18.2356
128,512,0.268087666667
128,1024,0.775673
128,1536,2.04576666667
128,2048,2.79230333333
128,2560,4.45282666667
128,3072,7.10492666667
128,3584,11.6392
160,512,0.337654666667
160,1024,0.734841333333
160,1536,1.79388333333
160,2048,4.48392666667
160,2560,8.35006
160,3072,13.8900666667
160,3584,21.1777